,Subsistence [B004],Community marriage organisation,ID,Name in English,ISO639-3 codes,Degree of endangerment,Level of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude
Nukunu,,,,,,,,,,,,
Nyamal,,,227,Nyamal,nly,Severely endangered,3,"Gnamo, Namel, Njamal, Njamarl, Nyamel.",,20,-21.4019,119.3225
Nyangumarta,,,,,,,,,,,,
Nyawaygi,,,,,,,,,,,,
Nyungar,,,,,,,,,,,,
Olkola,,,,,,,,,,,,
Paakantyi,,Agamous,,,,Critically endangered,4,,,2,-31.13,144.22
Pakanh,,,,,,,,,,,,
Pallanganmiddang,,,,,,,,,,,,
Panyjima,,,,,,,,,,,,
Parnkala,,,,,,,,,,,,
Payungu,,,,,,,,,,,,
Piangil,,,,,,,,,,,,
Pinjarra,,,,,,,,,,,,
PintupiLuritja,Gathering,Endogamous,2082,Pintupi,piu,Vulnerable,1,"Luridja, Pintubi, Binddibu, Loridja.",,600,-22.8882,128.3203
Pirriya,,,,,,,,,,,,
Pitjantjatjara,Gathering,Endogamous,2083,Pitjantjatjara,pjt,Vulnerable,1,Pitjantjara,,3000,-26.0719,129.9517
PittaPitta,,,,,,,,,,,,
PortMacQuarie,,,,,,,,,,,,
Punthamara,,,,,,,,,,,,
Purduna,,,,,,,,,,,,
Rirratjingu,,,,,,,,,,,,
Ritharrngu,,,232,Ritharrngu,rit,Definitely endangered,2,"Ritarungo, Ritarnugu, Ritharngu, Ridharrngu, Ridarngo, Wagelak, Wawilag.",,66,-13.1543,134.8242
SouthernWalmajarri,,,,,,,,,,,,
SteeleGDG,,,,,,,,,,,,
THETATIARRACOUNTRY,,,,,,,,,,,,
Tagalag,,,,,,,,,,,,
Thalanyji,,,,,,,,,,,,
Thanggatti,,,,,,,,,,,,
Tharrgari,,,173,Tharkarri,dhl,Critically endangered,4,"Dhargari, Talandji, Dalandji, Dalendi, Djalendi, Tallainga, Talandi, Talaindji, Talangee, Taloinga, Thalanyji, Thalantji",,2,-24.148,114.6533
Thaynakwith,,,,,,,,,,,,
