Language	Degree of endangerment	Level of endangerment	Number of speakers	Latitude	Longitude	Community Marriage Organisation	Name	fSD-dis-nondis	mSD-dis-nondis	agriculture				ID	Name in English	Community Marriage Organisation	Countries	Country codes alpha 3	ISO639-3 codes	Degree of endangerment	Alternate names	Name in the language	Number of speakers	Sources	Latitude	Longitude	Description of the location
Kabui	Vulnerable	1	95000	24.7218	93.6584		Kabui     	1	1	0				1162	Kabui		India	IND	nkf	Vulnerable	"Koboi, Kubai, Kuki-Kabui, Inpui"		95000		24.7218	93.6584	"Manipur, Senapati, Tamenglong and Imphal districts; Nagaland, around Dimapur; Assam."
Kaike	Definitely endangered	2	794	28.9642	82.9819		Kaike							1124	Kaike		Nepal	NPL	kzq	Definitely endangered	Tarali Kham; Tarali Magar		794	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	28.9642	82.9819	Dolpo district
Kanauri	Definitely endangered	2	825458	27.6981	85.3198		Kanauri   	1	0	0				1117	Newar		Nepal	NPL	new	Definitely endangered	__Œ_‚š__µ_____; Nepal Bhasa; Newari		825458	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	27.6981	85.3198	Kathmandu valley
Kayan_Pekon																											
Kelun																											
Khaling	Definitely endangered	2	9288	27.5781	86.7163		Khaling							1088	Khaling		Nepal	NPL	klr	Definitely endangered	_____________é; Khael; KhÕ_l		9288	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	27.5781	86.7163	Solukhumbu district
Kham	Definitely endangered	2	30000	28.4321	82.9635		Kham							1120	Kham		Nepal	NPL	"kgj, kip"	Definitely endangered	________å;		30000	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	28.4321	82.9635	Rukum and Rolp— districts.
Khezhama	Vulnerable	1	41000	25.6811	94.367		Khezhama  	1	0	0				1143	Kheza		India	IND	nkh	Vulnerable	"Kezami, Khezhama, Khezha"		41000		25.6811	94.367	Kohima and Phek districts
Khoirao	Vulnerable	1	20000	25.2198	94.1583		Khoirao   	1	0	0				1152	Khoirao		India	IND	nki	Vulnerable	Koirao		20000		25.2198	94.1583	"Manipur, Senapati District"
Konyak	Vulnerable	1	248000	26.9367	95.1745		Konyak    	1	0	0				1119	Konyak		India	IND	nbe	Vulnerable			248000		26.9367	95.1745	"Nagaland, Mon and Tuensang districts."
